city,county_name,state_id,lat,lng,population
Alum Rock,Santa Clara,CA,37.3695,-121.8241,11791
Newman,Stanislaus,CA,37.3157,-121.0211,11783
Winton,Merced,CA,37.3854,-120.6173,11761
Scotts Valley,Santa Cruz,CA,37.0555,-122.0118,11757
Delhi,Merced,CA,37.4306,-120.7759,11735
Mendota,Fresno,CA,36.7555,-120.3776,11716
Chowchilla,Madera,CA,37.1095,-120.2349,11583
View Park-Windsor Hills,Los Angeles,CA,33.9955,-118.3484,11580
Lake Los Angeles,Los Angeles,CA,34.6097,-117.8339,11469
Camp Pendleton South,San Diego,CA,33.2284,-117.3791,11459
Home Gardens,Riverside,CA,33.8784,-117.5116,11442
Signal Hill,Los Angeles,CA,33.8029,-118.1681,11421
Los Alamitos,Orange,CA,33.7972,-118.0594,11399
Hillsborough,San Mateo,CA,37.5573,-122.3587,11387
Canyon Lake,Riverside,CA,33.6885,-117.2621,11280
Tamalpais-Homestead Valley,Marin,CA,37.8793,-122.5382,11261
Rossmoor,Orange,CA,33.7886,-118.0803,11160
Piedmont,Alameda,CA,37.8226,-122.23,11135
Orange Cove,Fresno,CA,36.6211,-119.3188,11059
California City,Kern,CA,35.1578,-117.8721,10968
Soquel,Santa Cruz,CA,36.9978,-121.9482,10862
La Riviera,Sacramento,CA,38.5683,-121.3544,10851
Sierra Madre,Los Angeles,CA,34.1687,-118.0504,10793
Citrus,Los Angeles,CA,34.1161,-117.889,10771
Farmersville,Tulare,CA,36.3053,-119.2083,10703
